¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ò(435.76, 14.70, 316.41) (437.52, 7.29, 336.56) (0.81, 2.16, 0.81) Human 5.998787
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86364
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55382
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40822
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40225
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51306
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48441
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38069
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45366
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.21259
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.79432
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18579
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78768
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46759
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34563
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3343
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45121
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32468
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1908
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2246
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90455
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11854
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71194
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3816
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21056
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25366
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38826
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.16805
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01544
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0011
¶(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.90916
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05142
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63634
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29592
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07673
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09547
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29116
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01457
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8438
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.783
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.11461
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.984446
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56101
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21061
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9478
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9391
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09786
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93034
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69393
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.5845
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.18183
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.917643
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48594
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12564
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85088
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78464
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90704
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87467
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63219
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47442
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.25142
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.93912
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.851036
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41116
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04106
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75453
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63205
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71972
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81954
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57114
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40638
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.32343
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.01611
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.783192
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33667
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95694
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65881
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4814
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53583
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69234
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51073
µ(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.79743
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.43461
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.11646
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.712243
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26251
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87326
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56369
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35034
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35535
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47912
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.451
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.92953
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.57539
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.63133
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17509
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7846
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46924
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24216
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1782
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27035
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39192
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.06519
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.547745
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07423
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66863
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34242
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10953
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99659
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06577
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31961
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.20449
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.464893
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.97864
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55436
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21276
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96128
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.806
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83572
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05602
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.382895
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.884261
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44183
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08525
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81565
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63777
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61167
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79014
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.301691
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.791065
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33539
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95983
„ (435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67263
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47291
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39347
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53195
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220325
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.699128
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23252
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83649
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53224
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3115
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19245
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28115
(435.69, 14.73, 316.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.80827
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.770489
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.748413
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.728246
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.710168
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.694315
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.681056
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.670989
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.665606
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.670535
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.632111
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.605425
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.580146
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.55625
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.533697
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.512477
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.492559
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.473923
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.456557
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.440423
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.42553
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.411854
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.399395
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.400758
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.431612
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.518582
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.561584
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.533945
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.507695
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.482778
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.459177
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.436876
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.415836
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.396048
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.377472
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.360102
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.343919
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.328898
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.3156
Ÿ (435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.316384
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.336951
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.382943
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.480111
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.519378
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.491193
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.464377
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.438904
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.414743
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.391855
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.370239
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.349846
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.330667
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.312685
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.295863
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.280204
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.267038
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.267598
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.284736
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.321653
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.388683
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.555826
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.496296
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.46765
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.440375
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.414424
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.389807
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.366462
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.344374
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.323519
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.303883
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.285437
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.268149
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.252017
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.239012
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.239458
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.255049
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.28821
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.345992
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.455253
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.488992
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.459857
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.432094
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.405677
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.38059
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.356785
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.334249
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.31294
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.292858
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.273956
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.256239
¢ (435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.239662
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.226677
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.227073
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.242071
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.273806
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.328347
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.426222
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.496639
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.466919
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.438592
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.411627
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.385991
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.361666
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.338603
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.316795
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.296206
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.276824
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.258623
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.241577
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.228385
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.228777
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.243858
(435.69, 14.73, 316.86) (437.57, 7.29, 336.36) (0.81, 2.16, 0.81) Human 5.275772
