¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ!(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.840712
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.645851
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.030943
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.457889
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.81979
ö (382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.273335
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.802642
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30837
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16951
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24794
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5568
(382.97, 10.95, 322.13) (358.23, 3.53, 326.63) (0.81, 2.16, 0.81) Human 10.01766
(382.97, 10.95, 322.13) (358.23, 3.53, 326.63) (0.81, 2.16, 0.81) Human 9.947299
(382.97, 10.95, 322.13) (358.23, 3.53, 326.63) (0.81, 2.16, 0.81) Human 9.896878
(382.97, 10.95, 322.13) (358.23, 3.53, 326.63) (0.81, 2.16, 0.81) Human 9.856453
(382.97, 10.95, 322.13) (358.23, 3.53, 326.63) (0.81, 2.16, 0.81) Human 9.822949
(382.97, 10.95, 322.13) (358.23, 3.53, 326.63) (0.81, 2.16, 0.81) Human 9.794872
(382.97, 10.95, 322.13) (358.23, 3.53, 326.63) (0.81, 2.16, 0.81) Human 9.771365
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.200134
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.342672
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.496132
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.661776
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.841073
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.035732
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.257906
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.491271
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.747484
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.030008
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.343047
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.691741
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.082464
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.507273
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.874224
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.336445
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.874256
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40945
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28818
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39259
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74028
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69596
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.217428
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.361255
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.516148
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.683397
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.864494
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.064881
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.28629
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.52235
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.78166
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.067763
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.384965
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.738549
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.135059
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.557941
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.930113
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.401157
â (382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.947762
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51302
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41031
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55804
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92998
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.50212
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.89901
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.23497
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.380109
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.536467
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.705351
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.888286
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.096969
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.315145
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.553966
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.816445
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.106214
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.427686
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.786288
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.188749
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.609929
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.987496
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.467513
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.812499
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61951
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53602
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7289
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1261
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.50963
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.90087
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.252759
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.399238
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.557086
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.727639
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.912451
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.123831
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.344478
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.586122
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.851845
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.14537
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.471223
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.834977
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.243554
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.663263
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.046408
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.535551
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.915438
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72889
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67612
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 10.02455
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.987148
ó (382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.995254
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 10.00971
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 10.0329
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 10.07142
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.270799
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.418641
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.57801
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.750265
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.939282
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.151124
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.374295
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.618825
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.88787
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.185243
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.515589
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.884633
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.299498
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.717975
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.106889
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.605317
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02117
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84131
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.996387
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.897895
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.872471
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.865912
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.862342
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.861869
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.864608
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.87069
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.880394
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.894035
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.289089
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.438319
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.599237
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.773231
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.97213
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.178848
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.404599
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.652081
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.924526
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.225841
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.560794
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.935269
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.3566
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.774096
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.168973
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.67685
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12814
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96032
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.940492
õ (382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.856915
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.831908
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.818665
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.808103
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.800251
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.795033
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.792544
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.792798
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.795799
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.30763
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.458276
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.620774
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.796535
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.997975
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.207008
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.435396
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.685896
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.961821
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.267175
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.606856
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.986908
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.414886
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.831665
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.232705
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.750201
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22937
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09047
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.957597
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.869889
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.841544
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.822389
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.806005
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.792333
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.781332
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.772965
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.767257
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.764115
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.326423
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.47851
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.642618
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.82101
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.02421
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.235607
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.466689
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.720277
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.999764
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.309257
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.653784
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.039564
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.474377
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.890709
ã (382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.298124
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.825413
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3333
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22447
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 10.0705
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.944445
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.907084
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.879672
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.855664
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.834867
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.817105
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.802313
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.790396
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.78127
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.345468
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.499023
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.664771
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.850719
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.050839
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.264651
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.498485
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.75523
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.038362
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.352095
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.701592
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.093255
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.535097
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.951267
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.365275
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.902537
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4473
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36238
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46638
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79478
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 10.10523
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 10.04301
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.995558
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.956871
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.924542
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.897391
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.874767
(382.97, 10.95, 322.13) (358.78, 3.65, 327.81) (0.81, 2.16, 0.81) Human 9.856055
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.364768
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.519817
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.687236
(382.97, 10.95, 322.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.879479
