¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.871139
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.65719
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.64646
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 11.94119
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 11.96722
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 11.93369
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.04777
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 18.62442
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.108263
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.405735
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.73074
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.087229
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.479915
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.914543
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.522776
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21639
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88642
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.13254
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.0986
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.9346
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.02417
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.33737
Ê(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.74595
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 17.63005
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.03077
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 23.1936
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 11.97389
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 18.79828
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112461
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.410303
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.735753
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.092748
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.486032
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.928534
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.555727
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27984
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9672
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.03366
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.01903
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.90148
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.05538
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.19117
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.21804
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 17.55721
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.93662
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 23.06726
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.33508
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 18.97713
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.116613
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.414854
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.740724
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.098186
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492032
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.956842
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.588301
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31765
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.97435
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.93864
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.99062
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.86825
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.0887
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 14.1335
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.62983
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 17.4843
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.84249
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.94113
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.19029
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.06218
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.17755
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.16111
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120723
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419299
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.745621
Ë(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.103575
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.497994
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.984728
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.620389
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35498
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.88275
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.84734
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.9621
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.83491
(414.24, 14.18, 246.98) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 12.12416
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 14.086
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.57162
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 17.41135
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.7484
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.81525
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.3504
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.118806
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.423731
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.750455
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.108896
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.503868
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.012264
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.652032
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39181
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.79475
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.75963
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.72817
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.69764
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.66936
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.64329
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.61942
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.59771
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.57815
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.56072
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.5454
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.53217
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.52102
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.51195
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.50493
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.49998
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.49707
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.49621
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.49739
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.50062
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.113192
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.428099
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755209
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114155
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.509676
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.039318
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683226
İ(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39738
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.71024
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.67539
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.64431
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.61401
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.58595
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.56008
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.53639
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.51486
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.49545
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.47815
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.46295
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.44982
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.43876
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.42976
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.4228
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.41788
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.41499
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.41413
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.41531
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.41851
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.107476
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.424854
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759945
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.119321
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.515381
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.065989
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.713943
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3513
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.62909
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.59451
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.56378
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.53372
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.50586
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.48019
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.45668
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.4353
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.41604
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.39888
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.38379
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.37076
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.35978
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.35084
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.34393
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.33905
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.33618
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.33533
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.3365
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.33968
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101645
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.418471
Ø(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.764577
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.124445
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.523546
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.092201
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683934
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30524
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.56452
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.54381
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.52216
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.50571
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.49135
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.47907
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.46886
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.46071
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.4546
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.45054
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.44852
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.44853
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.45058
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.45467
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.46081
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.46899
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.47923
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.49154
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.50593
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.52241
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.095654
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.411896
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759237
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.129478
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.546069
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.099085
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.643488
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25926
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80675
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 10.83091
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.80952
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.79301
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.77864
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.7664
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.75629
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.74829
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.74239
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.7386
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.7369
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.73729
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.73977
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.74435
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 10.75104
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.38273
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.089555
³(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.405217
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.751865
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.1342
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568151
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.063251
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.603058
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21336
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74618
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.13627
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.11746
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.63306
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 12.6228
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 13.79955
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 15.22153
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 16.97394
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 19.18656
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.06746
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 20.60774
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.08334
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.398391
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.744361
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.125912
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.550498
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.027438
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.562721
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16761
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6869
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12881
(414.24, 14.18, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.4427
