¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.595
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.89233
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.41021
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.86993
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.86223
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.85685
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.33749
(332.70, 7.46, 363.77) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 11.85302
(332.70, 7.46, 363.77) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 11.85458
(332.70, 7.46, 363.77) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 11.85844
“(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346208
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601612
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87984
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.184019
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.512123
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.868796
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.262769
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.700003
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.188042
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.729754
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34511
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04588
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85091
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78526
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73405
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33182
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.49943
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.7715
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.62213
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.6313
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.46039
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.4205
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601389
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.879579
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183739
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.513442
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.870265
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.26437
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.701804
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.189137
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.713381
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33394
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03312
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8362
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76807
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65058
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26071
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.58649
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.40363
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.50129
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.55811
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.37268
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.50692
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.345781
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601143
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.879351
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183429
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514763
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871766
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.266026
°(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.70364
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.179332
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.695945
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3167
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02043
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82159
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72014
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56882
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93775
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.6771
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.45678
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.66165
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.18731
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 11.07409
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.59688
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.345542
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.600882
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.879044
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183146
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.516147
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.873279
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.267719
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.705518
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.169735
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.681846
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29707
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.95192
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.92285
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.89605
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.8715
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.84917
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.77139
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.77123
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.79528
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.78163
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.77011
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.76072
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.75343
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.74825
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.69049
(332.70, 7.46, 363.77) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.74418
(332.70, 7.46, 363.77) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.74528
(332.70, 7.46, 363.77) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.74848
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.345297
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.60064
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878756
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.18283
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.516571
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.874845
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.269436
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.702181
£(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.160278
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671288
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27753
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.95776
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.92901
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.90253
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.87829
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.85628
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.83646
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.81882
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.80333
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.79
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.77879
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.76971
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.76273
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.75786
(332.70, 7.46, 363.77) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 10.66295
(332.70, 7.46, 363.77) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.66235
(332.70, 7.46, 363.77) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.66384
(332.70, 7.46, 363.77) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 10.75938
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.345037
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.600362
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878477
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.18251
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.51621
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.876424
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.271179
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.693824
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.150981
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.660872
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25813
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95763
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.762
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54454
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33321
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27101
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00761
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.6151
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.40496
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.344804
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.600089
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878183
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.182204
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515847
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.878048
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.272982
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.685613
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.141877
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.65068
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23885
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93557
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72931
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53893
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3041
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18452
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16105
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.76886
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.43318
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.344548
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.599827
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.877868
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181859
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515481
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.879673
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.267002
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.677559
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.132923
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.640686
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21972
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91368
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69301
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53409
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29864
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16542
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.75415
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.72845
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.70589
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.68645
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.67012
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.65686
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.64667
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.63955
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.63548
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.61962
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.3443
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.599525
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.877553
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181536
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.515125
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881368
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.259839
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.669666
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.124127
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.63085
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20071
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89194
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65711
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52012
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29397
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16012
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.37654
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.35084
®(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.32821
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.30863
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.29208
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.27853
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.26799
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.26043
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.25585
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.14325
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.344013
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.599228
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87727
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181168
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514731
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881782
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.252842
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.661881
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.115504
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62121
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18844
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87037
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62167
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47912
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29016
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18351
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.92425
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.89931
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.87735
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.85835
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.84228
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.82914
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.81891
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.81158
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.80713
(332.70, 7.46, 363.77) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.69785
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.343734
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.598948
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.876935
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.180815
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514348
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.875884
