¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
›(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 23.1142
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01882
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56458
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05986
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35433
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66505
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9291
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20611
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49729
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75309
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00111
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26064
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.53237
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.562389
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.771409
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.997967
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.244304
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.510242
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.796415
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.10989
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.455205
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.83738
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.214976
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.623944
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.539575
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.997299
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46703
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98535
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53504
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02798
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57458
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13226
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43012
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72383
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99002
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26956
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56338
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8387
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08966
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35229
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7302
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.558416
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.76717
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.993366
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.239296
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.506743
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792769
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.105886
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.450786
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.832478
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.228554
Ô(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.63368
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.547011
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00636
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45489
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96527
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53777
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03854
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58613
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18865
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50907
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78538
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05403
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33619
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63284
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92825
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18225
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44813
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02761
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.554503
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.762999
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.988841
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.234369
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.502213
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.789245
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.102015
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.446514
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.827742
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.242552
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.645771
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.555057
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02795
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47851
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97374
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52045
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05052
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59929
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20311
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59124
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84991
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12115
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40613
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70574
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02106
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.279
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63331
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.34002
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.550652
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.758895
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.984389
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.229523
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496918
Ó(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.785678
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.098279
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.442391
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823171
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.246711
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.661681
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.563708
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04065
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50325
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00088
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55039
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0933
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62352
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21925
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65653
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9175
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1915
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47937
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78211
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10079
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93379
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.66847
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.546862
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.754861
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.98001
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.224758
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.491712
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.782209
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.094678
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.438419
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.818767
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.241798
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.140152
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572943
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05086
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52892
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02917
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58164
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15639
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69241
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28057
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74895
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00453
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27265
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55604
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86208
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18429
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55342
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.24943
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01406
Ê(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.543135
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.750879
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.975708
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.220074
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.486596
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.778362
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.091213
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.434596
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.814528
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.237076
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.149106
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.58282
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06176
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55566
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05853
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61413
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22162
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76366
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35871
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87538
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13587
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40921
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69621
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99786
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31525
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89581
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.58659
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.53947
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.746915
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.97148
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215473
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.481572
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772853
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.087884
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.430923
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.810456
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.232537
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.158628
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.593297
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07331
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58342
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08913
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64968
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28904
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8373
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43952
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00654
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27219
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55098
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84382
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15175
È(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.61634
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31527
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04385
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.535869
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.743021
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.967329
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.210957
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.476638
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.767444
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.084538
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.427401
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.806552
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.228185
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.168662
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.604338
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08558
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61225
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12082
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68828
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35863
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9134
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5228
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14268
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41371
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69825
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99724
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31169
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05884
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.76084
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.532333
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.739195
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.963254
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.206522
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.471796
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.762136
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.081197
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.42403
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.802816
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.22402
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.179278
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.616047
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0985
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63407
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15373
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72821
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40893
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99199
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60606
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2646
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56065
(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85122
Î(338.51, 7.56, 335.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15665
