¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.580027
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.012938
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.44905
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.937295
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.480179
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07642
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75492
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.43361
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.39892
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.36648
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.34458
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.32976
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.22373
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.20959
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.19747
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.81168
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.18229
(397.00, 13.77, 246.91) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 24.33769
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.04986
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.05363
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.05937
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.06707
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.07675
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941023
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250542
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.596305
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.985501
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.418468
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.902899
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.443357
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03468
ı(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70722
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.40351
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.36353
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.33177
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.30869
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.29435
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.20102
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.18689
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.17478
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.70688
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.09594
(397.00, 13.77, 246.91) (361.15, 7.78, 261.88) (1.35, 1.29, 1.38) Tools 24.38316
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.0274
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.03115
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.03685
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.04453
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.05417
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.921505
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.229114
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.571567
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.95803
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.387831
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.868479
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.406578
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.992996
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65963
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.37799
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.33812
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.30509
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.27914
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.26875
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.18037
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.16626
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.15416
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.60219
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.07342
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.06674
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.00521
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.00698
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.01071
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.01639
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.02403
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.03364
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901961
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.207712
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.546797
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.930528
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.357122
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.834064
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.369873
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.951433
û(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61365
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.36019
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.32095
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.28785
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.26439
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.25133
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.16177
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.14767
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.13558
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.49769
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.21575
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.04645
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.04193
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.986829
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.988585
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.992291
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.997949
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.00557
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.01515
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.443755
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186241
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521972
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903006
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.32644
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.799613
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.33175
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.909937
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56962
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.34835
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.31079
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.27991
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.25695
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.24386
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.14519
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.1311
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.11903
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.39344
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.1974
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.53588
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.02385
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.02148
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.970452
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.972195
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.975883
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.981521
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.989113
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.998669
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.424742
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.164828
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.497087
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87546
õ(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.295713
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.765156
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.292866
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.86854
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52557
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31365
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.30827
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.27739
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.25685
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.24065
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.13063
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.11655
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.10448
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.28952
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.18129
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.585
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.5793
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.00558
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.956064
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.957793
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.961468
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.967088
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.974659
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.984192
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405725
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.143402
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.47262
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.847892
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.264998
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.730764
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.254037
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.827243
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48153
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26261
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10683
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.27845
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.25874
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.24109
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.11806
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.10399
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.09193
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.18597
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.16738
(397.00, 13.77, 246.91) (361.03, 7.78, 263.46) (1.35, 1.29, 1.38) Tools 24.75341
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.943866
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.943646
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.945369
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.949029
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.954635
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.962188
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.9717
ç(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.386707
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.121989
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.449024
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.820319
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234282
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.696355
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.215246
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.786084
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43744
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21153
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04548
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.38009
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.3595
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.34101
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.10748
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.09342
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.08136
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.08287
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.15567
(397.00, 13.77, 246.91) (361.03, 7.78, 263.46) (1.35, 1.29, 1.38) Tools 24.82946
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.933417
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.933192
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.934905
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.938555
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.944146
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.951687
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.96118
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.367694
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.6477
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.425527
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792747
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.203614
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.661975
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.176526
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.745005
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39335
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16052
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98467
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.37127
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.35069
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.3322
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.09887
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.08482
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.07277
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.0627
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.06142
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.92492
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.924689
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.926394
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.930035
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.935617
ë(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.943144
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.952625
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.348691
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626988
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.402035
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.76516
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.172935
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.627651
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.137851
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.704106
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34923
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10953
(397.00, 13.77, 246.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92441
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.25085
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.22981
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.21084
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.09223
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.07818
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.06613
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.05607
(397.00, 13.77, 246.91) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.94393
