¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
»(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.146701
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.960679
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.947168
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.776148
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.415451
(331.74, 7.44, 367.95) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 14.51204
(331.74, 7.44, 367.95) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.07624
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.62216
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.599216
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.602202
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.62576
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.650472
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.676364
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.70347
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.755
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.867997
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.987493
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.096136
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.973838
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.767397
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.27405
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.241718
ç(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.643148
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.986865
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.23179
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.38596
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.37183
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.27344
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.876286
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.14238
(331.74, 7.44, 367.95) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.17612
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.648841
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.625763
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.62335
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.647222
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.672259
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.698486
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.725938
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.77007
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.883849
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.004188
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.248281
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.166969
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.952154
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.40833
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.2811
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.820851
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.3298
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.59267
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.8514
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.8366
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.82394
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.38701
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.101784
(331.74, 7.44, 367.95) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 16.28016
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.676747
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.653531
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.645412
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.669616
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.694993
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.721573
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.749387
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.785739
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.900333
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.021553
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.407464
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.371001
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.147164
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.493772
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.161798
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.00603
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.6389
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.98168
ì(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.28222
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.34727
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.33397
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.95604
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.074178
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.705915
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.682553
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.668411
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.692962
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.718698
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.745646
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.773841
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.803315
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.91746
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.039598
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.574127
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.546425
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.329732
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.576267
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.125002
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.19913
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.85789
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.40215
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.72716
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.91091
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.89689
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.59384
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.383134
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.736377
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.712864
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.692366
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.71728
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.74339
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.770727
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.799321
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.829207
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.935237
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.058332
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.748734
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.262038
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.353489
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.661302
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.81907
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.071722
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.08697
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.85794
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.2106
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.53603
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.006242
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.102934
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.715186
í(331.74, 7.44, 367.95) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 15.53599
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.768172
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.744501
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.721981
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.742592
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.769095
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.796837
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.82585
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.856168
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.953673
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.077766
(331.74, 7.44, 367.95) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.412992
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.355918
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.453929
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.748965
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.97595
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.872282
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.181919
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.007589
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.994553
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.983303
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.216061
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.538197
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.07296
(331.74, 7.44, 367.95) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 15.66051
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.801339
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.777503
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.754825
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.76892
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.795835
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.824002
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.853453
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.884224
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.972781
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.097909
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.230544
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.485917
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.587379
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.839346
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 12.14023
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 12.2268
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.08121
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.515755
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.500635
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.487413
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.663681
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.01892
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.45945
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.835921
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.811913
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.789071
ì(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.79629
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.823637
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.852249
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.882159
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.913404
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.992567
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.118776
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.252581
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.621399
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.726525
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.932546
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.288039
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 12.37783
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 12.51563
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.30832
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.09958
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.08544
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.15873
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.55253
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.98032
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.43456
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.871961
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.847775
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.824762
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.824727
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.852526
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.881602
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.911994
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.943737
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.013046
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.140375
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.275396
(331.74, 7.44, 367.95) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.268521
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.871677
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.02866
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.39224
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 12.5348
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 12.67643
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.46597
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.78137
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.76618
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.75314
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.14811
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.62711
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.03312
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.909506
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.885133
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.861944
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.854257
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.882527
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.912093
î(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.942988
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.97525
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.034224
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.162719
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.299005
(331.74, 7.44, 367.95) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.324422
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.023185
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.141045
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.499814
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 12.69798
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 12.84367
(331.74, 7.44, 367.95) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.16534
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.77765
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.54787
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.53376
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.81697
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.35709
(331.74, 7.44, 367.95) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.69417
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.948607
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.924039
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.900666
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.884909
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.913674
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.943749
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.975171
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.007977
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.056117
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.185822
(331.74, 7.44, 367.95) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 5.323421
(331.74, 7.44, 367.95) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 7.381962
(331.74, 7.44, 367.95) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.181423
