¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 8.205148
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57592
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59442
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79557
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23304
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98378
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16221
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.94619
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.114902
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.254862
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.403751
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.559157
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.723809
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.899728
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.384564
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.062138
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118239
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.662581
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.435329
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20801
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89873
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69211
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57257
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59048
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79093
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22744
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97687
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.15351
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.93494
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.106174
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.245596
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.393896
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.547654
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.711548
¦(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.886644
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.31738
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.979763
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.093191
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.63395
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.41877
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20494
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8952
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68811
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56962
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58705
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78684
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22252
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97082
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.14587
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.92504
(339.12, 7.55, 372.84) (303.33, 1.59, 360.42) (1.70, 3.00, 10.49) Fence 24.97993
(339.12, 7.55, 372.84) (303.33, 1.59, 360.42) (1.70, 3.00, 10.49) Fence 24.9464
(339.12, 7.55, 372.84) (303.33, 1.59, 360.42) (1.70, 3.00, 10.49) Fence 24.9178
(339.12, 7.55, 372.84) (303.33, 1.59, 360.42) (1.70, 3.00, 10.49) Fence 24.89412
(339.12, 7.55, 372.84) (303.33, 1.59, 360.42) (1.70, 3.00, 10.49) Fence 24.87533
(339.12, 7.55, 372.84) (303.33, 1.59, 360.42) (1.70, 3.00, 10.49) Fence 24.8614
(339.12, 7.55, 372.84) (303.33, 1.59, 360.42) (1.70, 3.00, 10.49) Fence 24.85234
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.097744
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.236646
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.383438
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.536527
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.699726
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.874027
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.2507
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.898119
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.06813
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.605342
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.40155
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20208
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89198
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68433
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5671
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5841
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78334
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21828
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96563
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.13932
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.91657
(339.12, 7.55, 372.84) (303.33, 1.59, 370.90) (1.70, 3.00, 10.49) Fence 24.72518
(339.12, 7.55, 372.84) (303.33, 1.59, 370.90) (1.70, 3.00, 10.49) Fence 24.69317
(339.12, 7.55, 372.84) (303.33, 1.59, 370.90) (1.70, 3.00, 10.49) Fence 24.66603
(339.12, 7.55, 372.84) (303.33, 1.59, 370.90) (1.70, 3.00, 10.49) Fence 24.64376
(339.12, 7.55, 372.84) (303.33, 1.59, 370.90) (1.70, 3.00, 10.49) Fence 24.62632
(339.12, 7.55, 372.84) (303.33, 1.59, 370.90) (1.70, 3.00, 10.49) Fence 24.6137
(339.12, 7.55, 372.84) (303.33, 1.59, 370.90) (1.70, 3.00, 10.49) Fence 24.71097
ˆ(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.089606
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.228018
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.373318
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.525805
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.688309
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.861855
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.184462
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.817275
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.043123
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.585734
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.383617
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19944
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88893
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67605
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56497
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58164
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.78038
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21474
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96126
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.13387
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.90947
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.081755
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.219706
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.36357
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.515453
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.677312
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.850128
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.118734
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.737187
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.018168
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.570234
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.365067
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19697
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88257
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66511
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56326
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57962
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77799
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21186
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95775
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12943
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.90371
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.074211
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.211695
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.354212
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.505495
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.666715
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.838837
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.05353
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657939
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.899038
ƒ(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.554203
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.345837
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19218
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87333
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65833
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56194
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57811
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77621
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20971
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95506
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12607
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89936
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.06698
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.203489
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.345189
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.495911
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.656532
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.827926
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.011321
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.57954
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.767807
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.537638
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.325998
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18432
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86437
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65346
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56109
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57706
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77496
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20821
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95323
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12376
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89636
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.060053
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.195359
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.33653
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.486717
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.64673
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.817516
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.000176
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.502009
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637583
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.520522
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.277289
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17669
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85564
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6488
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56059
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57647
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7743
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2074
‚(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95226
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12254
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89477
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.053419
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.18749
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.328212
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.477872
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.637325
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.807518
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.989494
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425345
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508447
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.502921
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.222773
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16928
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8472
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64432
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56054
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5764
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77422
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20726
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95212
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12232
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89449
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.047055
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.180004
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.320256
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.46945
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.628353
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.797945
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.979266
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.349598
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.380618
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.456813
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.168346
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1577
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.839
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63993
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56087
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57682
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77469
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20785
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95281
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.1232
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89567
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.040976
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.172798
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.312674
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.461366
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.619764
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.788801
…(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.969504
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274784
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.254087
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.410791
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.114109
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09621
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83107
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63575
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5616
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5777
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77573
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2091
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95435
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12514
(339.12, 7.55, 372.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89816
