¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.76874
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.529408
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.719677
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.9197
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33566
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.2026
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.21093
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.22203
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.23593
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.25264
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.27218
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.29456
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.3198
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.96043
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.071956
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.205582
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.345844
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49311
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.64796
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.810893
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.982536
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.163495
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.340835
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.475111
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.615493
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76233
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.91604
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.076998
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.245756
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.422756
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.60859
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.960569
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38184
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.29405
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.30256
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.31388
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.328
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.34496
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.36475
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.38742
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.41296
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98047
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.063135
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.149229
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.241384
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.383993
æ(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533884
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.691462
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.857406
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.032185
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.21661
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.393003
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.530398
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.674093
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.824458
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.981924
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.146932
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.319921
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.614712
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00482
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42994
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.38949
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.3982
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.40973
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.4241
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.44131
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.46138
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.48434
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.5102
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.001462
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.084746
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.171448
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.26174
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.355781
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.453776
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.57644
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.736975
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.905948
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.084127
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.272154
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.448218
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.588881
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.736054
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.890171
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.051569
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.29493
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.657136
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05082
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48004
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.48903
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.49795
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.50971
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.52433
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.54181
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.56217
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.58544
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.61164
Ù(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023404
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.107341
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.194723
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285711
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.380477
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479267
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.582179
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.689503
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.80144
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.956743
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.138443
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.33029
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.506575
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650696
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.801545
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.998381
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.335656
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.701226
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09861
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53211
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.59281
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.60194
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.61395
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.62882
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.64658
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.66725
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.69085
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.7174
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.046374
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.130971
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.219029
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.310773
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.4063
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.505878
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.609651
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.717865
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830748
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.948558
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.071567
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.200068
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.391146
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568276
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.722736
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.037617
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.378002
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.747011
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14833
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58622
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.64825
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.71031
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.72257
â(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.73772
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.75578
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.77677
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.80071
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.82762
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.07032
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.155611
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244405
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.336927
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.433264
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533681
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638336
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747477
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861334
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.980175
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.104288
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.233953
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.369451
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.511177
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.760532
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.078302
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.421924
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.794542
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19991
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64246
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.76048
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.82319
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.83571
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.85115
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.86953
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.89085
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.91515
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.94245
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.095259
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181275
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.27088
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.364164
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.461356
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.562665
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.668254
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.778402
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.893257
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.013196
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.138454
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.269298
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.396422
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.515873
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.671919
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.120479
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.467407
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.843808
í(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25343
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70081
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.87735
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.94074
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.95354
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.96928
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 14.98799
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.00966
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.03434
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.06204
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.121242
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.208035
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298431
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.392565
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.490654
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.592887
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.699422
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.810591
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.926551
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.047602
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.174062
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.287004
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.401684
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521271
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646021
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.974339
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.466344
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.894861
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30895
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76135
(418.77, 13.56, 326.34) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 13.60808
(418.77, 13.56, 326.34) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 13.60166
(418.77, 13.56, 326.34) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 13.59789
(418.77, 13.56, 326.34) (407.04, 10.23, 298.37) (0.61, 0.87, 0.61) Tools 13.59677
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.11131
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.13336
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.15843
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.18656
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.148235
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.235865
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327074
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.422095
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521103
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.624289
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.731874
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.844088
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.961208
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.077414
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.183147
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.293356
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408258
é(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.528048
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.652989
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.825638
