¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.133134
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.00971
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.526009
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11944
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80699
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50034
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05026
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65798
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47801
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37479
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63593
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.93547
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.90794
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.88416
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.86411
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.84778
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.83514
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.82619
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.82092
(333.77, 7.08, 381.89) (324.28, 2.56, 347.26) (2.10, 0.13, 2.78) Cabin 18.77204
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.08962
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.402201
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747778
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.128873
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.551136
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.02109
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.538811
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14522
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83648
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55101
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10609
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71977
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41914
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42085
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66721
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.92512
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.89762
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.87387
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.85386
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.83756
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.82495
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.81602
Š(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.81077
(333.77, 7.08, 381.89) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 18.80919
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.09394
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.405618
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.751542
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.133018
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.555739
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.026716
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.561124
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17078
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86576
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6027
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16301
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78287
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45753
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46734
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72221
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.77107
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098166
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.408903
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755137
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.137045
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.560214
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.031649
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.576033
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19617
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89482
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65539
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22109
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84718
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46124
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50347
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77774
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.85558
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102284
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41206
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.758633
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.140862
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564455
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.039639
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.58386
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22001
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92366
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70908
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28033
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88566
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46598
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39763
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83373
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.93891
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.106323
¨(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.415089
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.761922
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.14452
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.568554
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.048386
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.591318
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22856
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95227
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76379
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34074
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89096
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47178
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29273
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85113
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.8317
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.80764
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.78787
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.77238
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.76115
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.75417
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.75143
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.75294
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.75868
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.110261
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.418038
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.765084
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148033
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.574081
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.056907
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.599318
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23669
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9681
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79804
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36618
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89719
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47857
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18887
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7232
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.11004
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.08624
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.0666
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.05109
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.03971
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.03243
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.02927
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.0302
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 21.03523
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.114104
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.422266
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.768109
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.151339
¥(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.58145
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.065149
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.608632
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2444
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97701
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82494
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37278
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90439
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48646
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1264
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12158
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.43839
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.41488
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.39538
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.3799
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.3684
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.36089
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.35734
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.35777
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.36217
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.117885
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.426395
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.770938
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154674
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.588615
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.07317
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.617661
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25169
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98542
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79194
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3681
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9125
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49537
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13619
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.13761
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.29392
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.26433
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.23877
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.21721
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.19963
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.18602
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.17635
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.17062
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.11781
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.121557
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.430378
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.773604
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.160908
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.59553
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.080931
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.626412
¨(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25856
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99335
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73124
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34884
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89982
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50514
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14713
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16377
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.42498
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.39526
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.36958
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.34793
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.3303
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.31664
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.30697
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.30126
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.24816
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.125116
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.434299
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.776125
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.166922
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.602234
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.088454
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.634916
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26504
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0008
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67134
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33041
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87971
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48297
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14844
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24387
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.56176
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.5319
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.50611
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.48437
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.46667
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.45298
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.44329
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.4376
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.3842
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128578
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.438082
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.779783
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.17272
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.608725
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.095718
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.643086
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27108
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00609
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61225
§(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2916
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86053
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4619
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12514
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.32283
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.70444
(333.77, 7.08, 381.89) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.67442
