¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ê(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.73151
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207974
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.750933
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34162
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01079
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77497
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70064
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7806
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9312
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42817
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66506
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.4104
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.78395
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.001826
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.238022
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.493014
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.770915
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.075109
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.409436
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.778211
‚(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.725209
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.211936
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.75638
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34777
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01777
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78301
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7177
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7933
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9461
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4746
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.67995
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.78529
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.003276
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.239596
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495128
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773224
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.077641
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.412221
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292183
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728865
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.216019
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.762077
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3542
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02507
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79175
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73503
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8066
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96438
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.52194
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.69729
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.786688
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.004788
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.241238
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.497323
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.775622
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.080269
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.415117
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.295598
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.732656
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220243
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.767544
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36091
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03273
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8069
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75271
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82052
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00297
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51353
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.69806
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.78814
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00636
„(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.242943
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.499601
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.778109
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.082995
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.418118
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.299122
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.736588
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.22465
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.77247
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3679
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04066
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82231
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77072
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83505
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04205
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50237
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68522
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.789649
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.007993
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.244716
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.501956
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.780683
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.085818
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.908154
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302781
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.74068
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.229236
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.777617
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37516
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0489
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83794
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78906
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84982
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08167
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49272
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.791213
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.009685
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.246554
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.50418
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.783343
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.088737
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911612
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.306589
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.744884
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.233945
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.782922
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38268
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05746
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85388
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80768
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86328
ˆ(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12185
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.792833
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.01144
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.248458
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.506254
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.786094
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.55706
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.915117
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.310485
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.749243
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.238811
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.788414
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3905
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06635
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87009
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82662
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87724
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.16255
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.794508
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.013253
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.250426
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.508398
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.788932
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.560363
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.91878
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.314552
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753757
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.243825
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.794086
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39861
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07558
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88655
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84249
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8917
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17969
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.79624
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.015126
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.252461
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.510612
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.791857
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.563811
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.922541
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.31871
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.758374
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.24901
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.799925
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40696
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08507
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90324
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85527
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90668
‘(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11471
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.798027
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.01706
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.254559
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.512897
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.240712
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.567326
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.926408
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.322989
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76316
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.25435
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805934
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4156
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09491
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92025
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86845
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92211
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05103
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.799865
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.019051
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.256721
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.515253
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243991
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.570934
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.930405
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.327389
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768035
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.259846
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.812114
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4245
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10653
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93749
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88206
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92885
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98861
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.801761
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.0211
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.258947
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.517678
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.247384
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.574671
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.934529
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.331944
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.773121
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.265491
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.818483
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4337
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12167
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95499
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89609
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93518
¡(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92748
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.80371
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.02321
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.261237
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951723
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250881
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578492
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.938721
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.336603
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.778278
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.271305
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.825016
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44318
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13697
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97277
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90482
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92401
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86761
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.805711
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.025379
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.26359
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954996
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.254457
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.582412
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.943022
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.341371
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.783592
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.277246
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.831722
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45289
(405.85, 14.91, 311.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15253
