¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.637028
±(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.545025
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.942412
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.385731
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.887503
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.466781
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11748
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85157
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70296
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94036
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.160219
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.603611
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.74428
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.894786
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.056183
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.229628
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.412939
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.60682
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.816281
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.043225
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.28984
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.558823
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.85319
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.176723
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533834
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.930022
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.371826
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.875319
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.452979
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10648
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83891
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68824
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81086
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.156633
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.599828
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.740233
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.890449
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.051566
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.224639
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.407657
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.60113
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.810126
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.036553
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.282592
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.550922
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844545
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167209
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.523344
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918353
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.358816
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.864085
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.44022
¦(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09671
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82762
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67509
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68533
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.153233
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.276419
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.736454
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.886409
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.0472
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.219976
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.402681
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.595764
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.804343
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.030278
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.275809
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.543514
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.836461
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.158304
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.513509
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.907419
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.346628
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.85379
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.428498
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08506
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8177
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66359
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65559
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.150019
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.272994
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.732879
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.882623
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.0431
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.215616
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.39807
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.590804
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.798947
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.024453
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.269488
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.536608
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.828892
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.149993
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504323
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.897255
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.33826
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.844347
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.417761
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07281
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80914
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65361
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64383
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.146988
 (434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.269765
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.400857
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.879013
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.039268
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.211478
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.393743
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.586165
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.79397
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.019056
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.263606
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.530188
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821889
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.142298
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495821
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.887774
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.330678
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.835789
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.408065
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06169
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8019
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64519
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63396
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.144143
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.267967
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.397939
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.875694
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.035738
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.207677
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.389794
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.581865
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.789336
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.014067
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.258178
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.524258
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.815393
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.135193
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.48798
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87909
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323855
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.828132
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.399343
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05173
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79604
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63836
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62591
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.14223
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.265432
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.395236
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.872606
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.032433
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.204117
Ÿ(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.386144
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.57794
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.78512
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.009459
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.2532
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.518852
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.80948
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128673
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.480774
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871118
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317831
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.821352
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.391651
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04291
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79151
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63308
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61969
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.141669
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.263098
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.392745
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.531436
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.029407
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.200868
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.382848
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.574371
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.781259
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.005312
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.248691
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513927
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.804084
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.122753
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.474258
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.865509
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.312622
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.815423
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.384945
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03524
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7883
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62937
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61531
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.139663
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.260962
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.390468
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.529002
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.026641
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.197894
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.379847
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.571193
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.777832
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.001563
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.244609
œ(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5095
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.799245
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.117414
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.468371
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861513
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.308143
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810408
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.37924
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02869
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78644
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62719
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61274
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.137846
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.259028
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.388403
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.526794
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.024113
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.195192
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.377199
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.568346
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.774736
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.99823
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.241011
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.50553
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.794938
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112669
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.463168
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858241
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.304474
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.806237
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.374535
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02332
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78592
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62657
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61202
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.136216
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.257293
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.386551
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.524816
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.67302
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.192819
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.374861
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.565826
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.772031
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.995311
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.237833
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.502094
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.791143
(434.15, 14.88, 327.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.108538
