¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.953854
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.10643
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.214145
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.371191
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75382
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01579
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4194
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86279
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44845
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38285
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.44163
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.44474
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.45183
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.483476
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.514808
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.547406
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.58502
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.651122
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.720446
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.793207
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.910521
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.084826
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.057097
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.162908
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.324415
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.594544
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02584
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43014
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8652
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43051
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38449
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.39773
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.40077
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.40779
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.462935
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.493793
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.525899
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.565351
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.630635
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.699088
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.770922
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.891582
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.064094
ş(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.009351
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.113335
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.278906
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.578429
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03729
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4424
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87835
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41411
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38565
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.35793
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.36091
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.44309
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.473493
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.505128
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.546267
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.610763
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.678378
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.749319
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.872983
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.043743
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.963149
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.065381
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.234635
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.561429
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05014
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45618
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89312
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39928
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38638
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.33227
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.33519
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.33202
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.34287
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.35772
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.37655
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.423924
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.453892
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.485074
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.527757
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.591493
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.658299
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.72838
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.854718
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.023767
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.918442
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.018993
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.191571
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.543548
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06441
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47144
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90953
õ(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.386
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3866
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.30057
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.30344
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.30022
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.31102
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.32579
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.34455
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.405423
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.434973
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.465722
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.509811
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.572813
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.638841
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.708092
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.836784
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.004162
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.87519
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.974127
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.149685
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.524812
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08011
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48824
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92756
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40163
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38634
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.27287
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.2757
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.27245
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.28319
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.2979
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.387573
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.416723
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.447056
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.492416
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.554712
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.619989
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.688441
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.81918
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.984925
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.833352
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.930741
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.108949
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.505241
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09721
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5066
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94726
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42286
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3856
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.24915
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.25194
ú(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.24866
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.25936
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.27402
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.29266
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.370358
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.399125
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.429061
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.475561
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.537178
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.601733
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.669416
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.801898
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.96605
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.792889
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.888793
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.069336
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.484849
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09014
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50429
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95047
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43237
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38219
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.22939
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.23215
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.22885
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.2395
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.25412
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.27271
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.353768
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.382167
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.411722
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.459241
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.520201
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.584059
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.651004
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.78494
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.947535
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.753762
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.848241
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.030821
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.463661
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08008
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49353
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93888
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4199
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34107
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.21356
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.2163
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.21297
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.2236
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.23819
ö(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.337788
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.365835
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.395025
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.443441
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.503771
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.566959
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.633191
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.7683
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.929374
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.715939
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.80905
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.993381
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74096
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07139
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48422
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92891
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40911
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29968
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.20166
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.20437
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.20104
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.21164
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.2262
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.24473
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.322406
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.350117
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.378958
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.428154
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.487876
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.55042
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.615967
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.751973
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.911564
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.679384
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.771183
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.95699
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73479
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06411
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47643
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92049
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40007
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26955
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.19366
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.19637
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.19302
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.20361
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.21815
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.23666
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.307612
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.335
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.363508
õ(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.413372
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.47251
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.534434
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.599322
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.73596
(418.26, 13.43, 327.13) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.894104
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.644067
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.734608
(418.26, 13.43, 327.13) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.921626
(418.26, 13.43, 327.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73019
