¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.873703
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58763
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.30513
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.12693
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.36549
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.77453
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.39014
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.29131
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.091002
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.723116
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49711
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05859
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66463
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59473
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.55694
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.12253
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.35596
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.76681
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.38652
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.26868
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.061986
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.677581
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44385
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55978
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69718
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63207
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7156
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.11796
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.34075
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.74801
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.76903
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.54056
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.49943
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.46228
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.42915
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.39994
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.375
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.48459
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.032415
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.631114
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38953
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27985
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72902
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6685
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71594
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.11248
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.33575
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.72829
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.67167
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.49703
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.45851
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.42389
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.39325
Ÿ(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.36649
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.34396
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.44128
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.002274
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.583801
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33415
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21435
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76002
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70402
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70984
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.28977
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.32977
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.72232
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.32354
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.68917
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.65363
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.62459
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.59969
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.57894
(379.45, 15.00, 271.67) (383.97, 8.52, 307.25) (0.81, 2.16, 0.81) Human 19.5625
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.97157
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.535545
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27783
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14774
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79023
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70624
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71419
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.50831
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.32279
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.7166
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.3005
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.14801
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.940342
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.486434
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22056
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08014
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80588
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70434
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7178
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.74299
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.31482
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.70775
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.27553
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.11514
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.908601
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.44223
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16245
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01155
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80671
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70159
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72077
ƒ(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79707
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.3025
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.6865
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.24691
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.07208
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.876379
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.405789
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10352
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94212
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81318
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69793
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72301
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79964
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.29481
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.66442
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.21738
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.02814
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.84367
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.368921
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04383
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87182
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81897
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69388
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71869
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80138
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.44339
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.6415
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.19053
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.98331
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810505
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.331525
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.983438
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80073
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82404
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69967
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.71243
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80237
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.64277
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.61778
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.16331
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.93318
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.04403
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.776918
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.293663
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.922315
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72897
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66987
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70463
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70516
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79045
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.86116
ƒ(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.59264
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.12851
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.88416
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.9846
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.74293
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.25538
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.860697
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65656
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57721
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70883
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70744
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77076
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9603
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.56678
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.08866
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.8348
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.92427
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708488
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.216608
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.798395
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58154
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.48425
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71221
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.69701
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75042
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93694
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.5413
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.04464
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.78449
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.86309
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.673729
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.177531
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.745389
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50271
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39111
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71477
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6742
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.72952
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91283
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.54589
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.99989
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.73257
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.7977
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.638584
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.137931
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.700613
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4237
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2978
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70869
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65071
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70801
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88811
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.71761
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.95457
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.6801
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.72394
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.603089
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.098069
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.655436
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34444
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20436
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68749
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62665
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.68591
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86265
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.90919
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.91027
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.62717
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.64906
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.567324
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.057845
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.609926
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27242
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11086
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11115
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60189
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.66322
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83657
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.12579
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.86469
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.57105
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.57367
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.531187
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.017306
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.564115
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2038
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01755
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99972
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57701
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63995
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.80501
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.10888
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.81857
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.51134
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.48726
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.494833
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.976485
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.517952
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13492
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93691
(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88863
