¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
— (403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.319571
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.423833
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.400643
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.378862
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.358462
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.339426
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.32173
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.30536
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.290297
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.276526
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.264035
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.25281
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.242839
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.234114
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.226624
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.220366
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.215329
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.211511
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.208908
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.413953
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.413759
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.415401
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.41888
(402.76, 13.98, 248.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.401619
(402.76, 13.98, 248.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.585406
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.444195
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.415502
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.388303
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.362568
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.338271
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.315385
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.293888
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.273755
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.254965
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.237499
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.221342
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.206473
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.192881
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.18055
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.169468
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.159625
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.15101
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.143616
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.137433
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.132459
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.128685
˜ (402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.126111
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.323197
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.322997
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.324616
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.328056
(402.76, 13.98, 248.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.387955
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.390571
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.360737
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.332409
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.305557
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.28015
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.256162
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.233567
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.212342
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.192463
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.173912
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.156667
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.140712
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.126032
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.11261
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.100433
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.08949
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.07977
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.071261
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.063957
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.05785
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.052934
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.049205
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.046658
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.235956
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.235752
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.23735
(402.76, 13.98, 248.44) (379.50, 8.79, 246.41) (1.49, 1.29, 1.47) Tools 9.24075
(402.76, 13.98, 248.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.374655
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.310087
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.280622
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.252645
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.226124
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.201033
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.177341
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.155025
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.134062
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.114429
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.096105
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.079072
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.063314
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.048813
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.035555
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.023528
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.012717
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.003113
— (402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.994706
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.98749
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.981454
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.976596
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.972908
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.970388
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.071399
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.071053
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.072476
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 9.075668
(402.76, 13.98, 248.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.361691
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.2328
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.20369
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.176051
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.14985
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.12506
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.101653
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.079606
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.058893
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.039495
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.021391
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.004563
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.988992
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.974664
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.961564
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.949679
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.938995
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.929504
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.921196
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.914063
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.908097
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.903294
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.899647
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.897153
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.939132
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.938785
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.940181
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.943318
(402.76, 13.98, 248.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.349109
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.158566
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.129799
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.102484
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.07659
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.052089
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.028957
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.007167
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.986697
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.967525
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.949633
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.932999
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.91761
— (402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.903447
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.890498
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.87875
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.868189
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.858808
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.850595
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.843542
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.837643
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.832891
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.829284
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.826815
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.812363
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.812013
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.81338
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.816467
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.117158
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.087253
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.058814
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.03181
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.00621
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.981989
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.95912
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.937578
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.91734
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.898386
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.880695
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.86425
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.849035
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.835032
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.82223
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.810613
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.80017
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.790893
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.78277
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.775795
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.76996
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.765259
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.761689
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.759245
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.69081
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.690457
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.691799
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.694839
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.048304
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.018731
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.990606
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.963902
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.938587
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.914634
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.892016
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.870713
¡ (402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.850698
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.831953
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.814458
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.798194
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.783146
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.769297
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.756634
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.745143
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.734815
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.725638
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.717602
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.710702
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.704929
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.700277
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.696743
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.694322
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.574215
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.57386
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.575176
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.578168
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.982133
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.952878
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.925057
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.89864
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.873597
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.849902
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.827528
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.806453
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.786654
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.768111
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.750803
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.734713
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.719824
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.706124
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.693595
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.682227
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.672008
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.662927
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.654976
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.648146
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.642432
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.637828
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.634329
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.631931
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.462332
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.461975
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.463269
(402.76, 13.98, 248.44) (379.52, 8.79, 247.87) (1.48, 1.29, 1.46) Tools 8.466214
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.918533
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.889584
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.862056
Ÿ (402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.835916
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.811134
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.787687
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.765548
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.744693
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.725101
(402.76, 13.98, 248.44) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 5.706749
